Equipo,Municipio,Sección,Sexo,Edad,Ocupación,"31. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos votaría?","32. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos NUNCA votaría?","33. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos votaría?","34. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos NUNCA votaría?",_Capturar ubicación GPS_latitude,_Capturar ubicación GPS_longitude,_id,_submitted_by
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,33,Cuidado del hogar,Aún no decide,Aún no decide,,,20.515518,-103.3826043,115678,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,53,Cuidado del hogar,Aún no decide,PAN,,,20.5150293,-103.3825455,115679,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,49,Trabajador/a,MOVIMIENTO CIUDADANO,No contestó,,,20.5150521,-103.3826742,115680,user141
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,30,Cuidado del hogar,Aún no decide,PAN,,,20.5153521,-103.3824955,115681,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,53,Cuidado del hogar,Aún no decide,MORENA,,,20.5152875,-103.3825141,115682,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,63,Cuidado del hogar,Aún no decide,PRI,,,20.5146361,-103.3826106,115683,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,19,Cuidado del hogar,Aún no decide,PAN,,,20.5158379,-103.3824291,115684,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,46,Cuidado del hogar,PARTIDO VERDE,MORENA,,,20.515967,-103.3823568,115685,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Hombre,51,Trabajador/a,PARTIDO DEL TRABAJO,PRI,,,20.5162012,-103.3823367,115686,user82
EQUIPO 1,ZAPOPAN,3222,Mujer,18,Trabajador/a,MORENA,PRI,Aún no decide,PRI,20.6027561,-103.4309186,115687,user154
EQUIPO 1,ZAPOPAN,3222,Mujer,33,Trabajador/a,MORENA,Aún no decide,MORENA,Aún no decide,20.6028927,-103.4307994,115688,user154
EQUIPO 1,ZAPOPAN,3222,Mujer,53,Trabajador/a,MORENA,PAN,MORENA,PAN,20.6026519,-103.4308898,115689,user154
